Measurement,MeasurementNote,ResourceType,Database,Metric,MetricNote,MetricUnit
"bond","Bond interface","host","telegraf","active_slave","used SNAT port count","count"
"bond","Bond interface","host","telegraf","status","Status of bond interface (down = 0, up = 1)","NULL"
"bond_slave","Slave interfaces of bond interface","host","telegraf","status","Status of bonds's slave interface (down = 0, up = 1)","NULL"
"bond_slave","Slave interfaces of bond interface","host","telegraf","failures","Amount of failures for bond's slave interface","count"
"cpu","CPU usage","host","telegraf","usage_active","CPU active state utilization rate","%"
"cpu","CPU usage","host","telegraf","usage_idle","CPU idle state utilization rate","%"
"cpu","CPU usage","host","telegraf","usage_system","CPU system state utilization rate","%"
"cpu","CPU usage","host","telegraf","usage_user","CPU user mode utilization rate","%"
"cpu","CPU usage","host","telegraf","usage_iowait","CPU IO usage","%"
"cpu","CPU usage","host","telegraf","usage_irq","CPU IRQ usage","%"
"cpu","CPU usage","host","telegraf","usage_guest","CPU guest usage","%"
"cpu","CPU usage","host","telegraf","usage_nice","CPU priority switch utilization","%"
"cpu","CPU usage","host","telegraf","usage_softirq","CPU softirq usage","%"
"cpu","CPU usage","host","telegraf","usage_steal","CPU steal usage","%"
"cpu","CPU usage","host","telegraf","usage_guest_nice","CPU guest nice usage","%"
"agent_cpu","CPU usage","agent","telegraf","usage_active","CPU active state utilization rate","%"
"agent_cpu","CPU usage","agent","telegraf","usage_idle","CPU idle state utilization rate","%"
"agent_cpu","CPU usage","agent","telegraf","usage_system","CPU system state utilization rate","%"
"agent_cpu","CPU usage","agent","telegraf","usage_user","CPU user mode utilization rate","%"
"agent_cpu","CPU usage","agent","telegraf","usage_iowait","CPU IO usage","%"
"agent_cpu","CPU usage","agent","telegraf","usage_irq","CPU IRQ usage","%"
"agent_cpu","CPU usage","agent","telegraf","usage_guest","CPU guest usage","%"
"agent_cpu","CPU usage","agent","telegraf","usage_nice","CPU priority switch utilization","%"
"agent_cpu","CPU usage","agent","telegraf","usage_softirq","CPU softirq usage","%"
"agent_cpu","CPU usage","agent","telegraf","usage_steal","CPU steal usage","%"
"agent_cpu","CPU usage","agent","telegraf","usage_guest_nice","CPU guest nice usage","%"
"disk","Disk usage","host","telegraf","used_percent","Percentage of used disks","%"
"disk","Disk usage","host","telegraf","free","Free space size","byte"
"disk","Disk usage","host","telegraf","used","Used disk size","byte"
"disk","Disk usage","host","telegraf","total","Total disk size","byte"
"disk","Disk usage","host","telegraf","inodes_used_percent","Percentage of used inodes","%"
"disk","Disk usage","host","telegraf","inodes_free","Available inode","count"
"disk","Disk usage","host","telegraf","inodes_used","Number of inodes used","count"
"disk","Disk usage","host","telegraf","inodes_total","Total inodes","count"
"disk","Disk usage","host","telegraf","read_only","Test if disk is read only","NULL"
"agent_disk","Disk usage","agent","telegraf","used_percent","Percentage of used disks","%"
"agent_disk","Disk usage","agent","telegraf","free","Free space size","byte"
"agent_disk","Disk usage","agent","telegraf","used","Used disk size","byte"
"agent_disk","Disk usage","agent","telegraf","total","Total disk size","byte"
"agent_disk","Disk usage","agent","telegraf","inodes_used_percent","Percentage of used inodes","%"
"agent_disk","Disk usage","agent","telegraf","inodes_free","Available inode","count"
"agent_disk","Disk usage","agent","telegraf","inodes_used","Number of inodes used","count"
"agent_disk","Disk usage","agent","telegraf","inodes_total","Total inodes","count"
"agent_disk","Disk usage","agent","telegraf","read_only","Test if disk is read only","NULL"
"diskio","Disk traffic and timing","host","telegraf","read_bps","Disk read rate","bps"
"diskio","Disk traffic and timing","host","telegraf","write_bps","Disk write rate","bps"
"diskio","Disk traffic and timing","host","telegraf","read_iops","Disk read operate rate","count"
"diskio","Disk traffic and timing","host","telegraf","write_iops","Disk write operate rate","count"
"diskio","Disk traffic and timing","host","telegraf","iops","Disk read/write operate rate","count"
"diskio","Disk traffic and timing","host","telegraf","reads","Number of reads","count"
"diskio","Disk traffic and timing","host","telegraf","writes","Number of writes","count"
"diskio","Disk traffic and timing","host","telegraf","iocount","Accumulated I/O request count","count"
"diskio","Disk traffic and timing","host","telegraf","read_bytes","Bytes read","byte"
"diskio","Disk traffic and timing","host","telegraf","write_bytes","Bytes write","byte"
"diskio","Disk traffic and timing","host","telegraf","iobytes","Bytes of both read and write","byte"
"diskio","Disk traffic and timing","host","telegraf","read_time","Time to wait for read","ms"
"diskio","Disk traffic and timing","host","telegraf","write_time","Time to wait for write","ms"
"diskio","Disk traffic and timing","host","telegraf","io_time","I / O request queuing time","ms"
"diskio","Disk traffic and timing","host","telegraf","read_await","Time to wait for read","ms"
"diskio","Disk traffic and timing","host","telegraf","write_await","Time to wait for write","ms"
"diskio","Disk traffic and timing","host","telegraf","await","I / O request queuing time","ms"
"diskio","Disk traffic and timing","host","telegraf","merged_reads","Merged disk read request count","count"
"diskio","Disk traffic and timing","host","telegraf","merged_writes","Merged disk write request count","count"
"diskio","Disk traffic and timing","host","telegraf","merged_iocount","Merged Accumulated I/O request count","count"
"diskio","Disk traffic and timing","host","telegraf","weighted_io_time","I / O request waiting time","ms"
"diskio","Disk traffic and timing","host","telegraf","iops_in_progress","Number of I / O requests issued but not yet completed","count"
"diskio","Disk traffic and timing","host","telegraf","ioutil","IO utilization in percentage","%"
"diskio","Disk traffic and timing","host","telegraf","avgqu_sz","Averate queing request count per seconds","NULL"
"agent_diskio","Disk traffic and timing","agent","telegraf","read_bps","Disk read rate","bps"
"agent_diskio","Disk traffic and timing","agent","telegraf","write_bps","Disk write rate","bps"
"agent_diskio","Disk traffic and timing","agent","telegraf","read_iops","Disk read operate rate","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","write_iops","Disk write operate rate","count"
